l4at56um-in-pool1pts-25deg-250rpm20/11/202215:03:19	
Time (seconds)	Raw Heat Rate (uJ / s)
612	-93,46747551
613	-93,47522098
614	-93,48329286
615	-93,4915817
616	-93,5000106
617	-93,5083682
618	-93,51661964
619	-93,52482637
620	-93,53297468
621	-93,54110083
622	-93,54941495
623	-93,55814412
624	-93,56722878
625	-93,57651399
626	-93,58604013
627	-93,5956866
628	-93,60537536
629	-93,61505811
630	-93,62474173
631	-93,63446932
632	-93,64427478
633	-93,65412185
634	-93,66400013
635	-93,67389211
636	-93,68372448
637	-93,69340628
638	-93,70281148
639	-93,71199191
640	-93,72100176
641	-93,72981069
642	-93,73849507
643	-93,74704086
644	-93,75547877
645	-93,76387949
646	-93,77212198
647	-93,78015861
648	-93,78808698
649	-93,79585257
650	-93,80338889
651	-93,81073908
652	-93,81807077
653	-93,82547024
654	-93,8328273
655	-93,84015656
656	-93,84742258
657	-93,85451186
658	-93,86141352
659	-93,8680409
660	-93,87436206
661	-93,8804575
662	-93,88642039
663	-93,89222525
664	-93,89804722
665	-93,90396736
666	-93,90984459
667	-93,91559202
668	-93,92123707
669	-93,92682083
670	-93,93220531
671	-93,93741533
672	-93,94254861
673	-93,94761063
674	-93,95262795
675	-93,95764523
676	-93,96262916
677	-93,96751603
678	-93,97238763
679	-93,9771928
680	-93,9819016
681	-93,98670381
682	-93,9916249
683	-93,99648582
684	-94,00129039
685	-94,0061709
686	-94,01112926
687	-94,01609452
688	-94,02104392
689	-94,02610788
690	-94,03130033
691	-94,036641
692	-94,04211282
693	-94,04759561
694	-94,05298507
695	-94,05823187
696	-94,06327449
697	-94,06814356
698	-94,07290542
699	-94,07756461
700	-94,0820658
701	-94,08644878
702	-94,09088055
703	-94,0953919
704	-94,09984019
705	-94,10418902
706	-94,10844973
707	-94,1126216
708	-94,11667161
709	-94,12060541
710	-94,1244337
711	-94,12812161
712	-94,13168117
713	-94,13517375
714	-94,13863532
715	-94,14212985
716	-94,14569197
717	-94,14926627
718	-94,15284843
719	-94,15649134
720	-94,1602536
721	-94,16406146
722	-94,16781329
723	-94,17150806
724	-94,17520918
725	-94,17899808
726	-94,18298233
727	-94,18710667
728	-94,19125875
729	-94,19536421
730	-94,19940172
731	-94,20332799
732	-94,20712559
733	-94,21082224
734	-94,21446178
735	-94,21805561
736	-94,22172887
737	-94,22567653
738	-94,22992742
739	-94,23437329
740	-94,23897859
741	-94,24360681
742	-94,24818938
743	-94,25277606
744	-94,25744195
745	-94,26227481
746	-94,26736157
747	-94,27274294
748	-94,27830549
749	-94,28390741
750	-94,28954629
751	-94,29521499
752	-94,3007508
753	-94,30613212
754	-94,31136937
755	-94,31641057
756	-94,3214395
757	-94,32677253
758	-94,33238664
759	-94,3381344
760	-94,34387351
761	-94,34942817
762	-94,35466237
