stp2loop16-63um-in-loop1pts-10um-25deg-250rpm05/12/202208:50:59	
Time (seconds)	Raw Heat Rate (uJ / s)
568	-93,73165377
569	-93,73695441
570	-93,74227822
571	-93,74764249
572	-93,7530362
573	-93,758576
574	-93,76432041
575	-93,7701713
576	-93,77611318
577	-93,78208533
578	-93,78797274
579	-93,79376342
580	-93,7995156
581	-93,80526401
582	-93,81106192
583	-93,81693272
584	-93,82284886
585	-93,8289441
586	-93,83527846
587	-93,84191815
588	-93,84896653
589	-93,85638215
590	-93,86427994
591	-93,87258826
592	-93,88112374
593	-93,88988156
594	-93,89874576
595	-93,90759228
596	-93,91642209
597	-93,92525037
598	-93,93403995
599	-93,94270878
600	-93,95118945
601	-93,95942797
602	-93,96744197
603	-93,97515853
604	-93,98258624
605	-93,98960844
606	-93,99623111
607	-94,00259811
608	-94,00878776
609	-94,01497281
610	-94,02141921
611	-94,02826401
612	-94,03548038
613	-94,04301261
614	-94,05085319
615	-94,05902646
616	-94,06744533
617	-94,07596364
618	-94,08447286
619	-94,09300412
620	-94,10167852
621	-94,11062519
622	-94,1199576
623	-94,12968762
624	-94,13977727
625	-94,14990109
626	-94,15973886
627	-94,16925101
628	-94,17858409
629	-94,18768525
630	-94,19642293
631	-94,20486473
632	-94,21304054
633	-94,22090495
634	-94,22840919
635	-94,23556129
636	-94,24231015
637	-94,24855229
638	-94,25428967
639	-94,25965698
640	-94,26487737
641	-94,27009543
642	-94,27531735
643	-94,28036344
644	-94,28528585
645	-94,29012443
646	-94,29490079
647	-94,29977685
648	-94,30483336
649	-94,31014751
650	-94,31591638
651	-94,32219096
652	-94,32883519
653	-94,33590834
654	-94,34330795
655	-94,35083281
656	-94,35847477
657	-94,36615785
658	-94,3738535
659	-94,38158408
660	-94,38943871
661	-94,39742979
662	-94,40541182
663	-94,41338559
664	-94,42133526
665	-94,42902147
666	-94,4362635
667	-94,44326155
668	-94,44997135
669	-94,45638487
670	-94,46266817
671	-94,46888106
672	-94,47515918
673	-94,48161135
674	-94,48821694
675	-94,49485814
676	-94,50154777
677	-94,50849735
678	-94,51579815
679	-94,5234619
680	-94,53163896
681	-94,5404867
682	-94,54989909
683	-94,55974002
684	-94,56990055
685	-94,58019095
686	-94,59044778
687	-94,60060212
688	-94,61048161
689	-94,61992078
690	-94,62882269
691	-94,63703085
692	-94,64438317
693	-94,65093746
694	-94,65688091
695	-94,66230249
696	-94,66726015
697	-94,67179519
698	-94,67601483
699	-94,68009914
700	-94,68415727
701	-94,6882561
702	-94,69244893
703	-94,69689744
704	-94,70173216
705	-94,70715677
706	-94,71325761
707	-94,71998744
708	-94,72726238
709	-94,73491785
710	-94,74272198
711	-94,75050298
712	-94,75809759
713	-94,76538326
714	-94,77223243
715	-94,77864788
716	-94,78468096
717	-94,79041344
718	-94,79602925
719	-94,80168752
720	-94,80738645
721	-94,81328803
722	-94,81943599
723	-94,82567945
724	-94,83198737
725	-94,83841211
726	-94,84490456
727	-94,85149866
728	-94,85824128
729	-94,86508484
730	-94,87194024
731	-94,87874887
732	-94,88535494
733	-94,89147418
734	-94,89691587
735	-94,90165989
736	-94,90565196
737	-94,90894182
738	-94,91167477
739	-94,91391554
740	-94,91574516
741	-94,91736974
742	-94,91893175
743	-94,92050073
744	-94,92220802
745	-94,9241306
746	-94,92617987
747	-94,92829608
748	-94,93048585
749	-94,93280209
750	-94,93531076
751	-94,93799452
752	-94,9408446
753	-94,9438497
754	-94,9469715
755	-94,95015733
756	-94,95333964
757	-94,95652552
758	-94,95965566
759	-94,96260043
760	-94,96537903
761	-94,96801964
762	-94,97049966
763	-94,97279651
764	-94,97483498
765	-94,97649111
766	-94,97775043
767	-94,97866299
768	-94,9793927
769	-94,98009384
770	-94,98091107
771	-94,98184058
772	-94,9828505
773	-94,98412961
774	-94,98582867
775	-94,98788635
776	-94,99038082
777	-94,99337002
778	-94,99685177
779	-95,00083047
780	-95,00526849
781	-95,01021316
782	-95,01575999
783	-95,02178066
784	-95,02807692
785	-95,03446735
786	-95,04099029
787	-95,04768719
788	-95,05448143
789	-95,06130503
790	-95,06815161
791	-95,07511182
792	-95,08221404
793	-95,08936154
794	-95,09646781
795	-95,10350099
796	-95,11027552
797	-95,11653684
798	-95,12218576
799	-95,12732001
800	-95,13207519
801	-95,13650996
802	-95,14073923
803	-95,14484906
804	-95,148921
805	-95,15316983
806	-95,15747173
807	-95,16170277
808	-95,16605368
809	-95,17072042
810	-95,17579863
811	-95,18129112
812	-95,1872145
813	-95,1936294
814	-95,20052779
815	-95,2078373
816	-95,2155426
817	-95,22350076
818	-95,23148713
819	-95,2394386
820	-95,24716267
821	-95,2545663
822	-95,26174215
823	-95,2686389
824	-95,27513883
825	-95,28120724
826	-95,28692522
827	-95,29237857
828	-95,29761146
829	-95,30269719
830	-95,30773098
831	-95,31270335
832	-95,31762193
833	-95,3225952
834	-95,32762167
835	-95,33284998
836	-95,33841464
837	-95,34439385
838	-95,35100807
839	-95,35847385
840	-95,36675841
841	-95,37567932
842	-95,38506515
843	-95,39476233
844	-95,40456794
845	-95,41425326
846	-95,42367825
847	-95,43276475
848	-95,4414071
849	-95,44953466
850	-95,45697812
851	-95,46372729
852	-95,46985133
853	-95,47533927
854	-95,48007792
855	-95,48415441
856	-95,48775365
857	-95,49094842
858	-95,49373689
859	-95,49613468
860	-95,49825012
861	-95,50012015
862	-95,50178504
863	-95,50328093
864	-95,50456825
865	-95,50571057
866	-95,50680043
867	-95,50777049
868	-95,50851657
869	-95,50907579
870	-95,50951644
871	-95,50986819
872	-95,51020292
873	-95,51059182
874	-95,51113065
875	-95,51180611
876	-95,51254474
877	-95,51333036
878	-95,51423488
879	-95,51537493
880	-95,51675907
881	-95,51831865
882	-95,52007224
883	-95,5220185
884	-95,52412068
885	-95,52631315
886	-95,52855485
887	-95,53080849
888	-95,53305595
889	-95,53525122
890	-95,5373934
891	-95,5395691
892	-95,54176711
893	-95,54391544
894	-95,54598984
895	-95,5480457
896	-95,55017714
897	-95,55239321
898	-95,5546588
899	-95,55695246
900	-95,55921554
901	-95,56140451
902	-95,56353624
903	-95,56565443
904	-95,56782007
905	-95,57004304
906	-95,57235466
907	-95,57492616
908	-95,57789136
909	-95,58127256
910	-95,58494366
911	-95,588738
912	-95,59261448
913	-95,59655761
914	-95,60049506
915	-95,60433749
916	-95,6080728
917	-95,61172708
918	-95,6152954
919	-95,6187465
920	-95,6222077
921	-95,62578551
922	-95,62945823
923	-95,63333184
924	-95,63737917
925	-95,64157145
926	-95,64599528
927	-95,65055271
928	-95,65513518
929	-95,65975215
930	-95,66455173
931	-95,66958675
932	-95,67478051
933	-95,68007603
934	-95,68545658
935	-95,69079967
936	-95,69598238
937	-95,70093466
938	-95,70546872
939	-95,7095434
940	-95,71325632
941	-95,71661378
942	-95,7197124
943	-95,72265716
944	-95,72545639
945	-95,72809213
946	-95,73060691
947	-95,73303396
948	-95,73540093
949	-95,73781773
950	-95,74040073
951	-95,74321925
952	-95,74643585
953	-95,75009298
954	-95,7540436
955	-95,75821045
956	-95,76250319
957	-95,7668425
958	-95,77122182
959	-95,77572314
960	-95,78034197
961	-95,78501208
962	-95,7897719
963	-95,7945749
964	-95,79924957
965	-95,8036375
966	-95,80767766
967	-95,81131471
968	-95,81465766
969	-95,81796711
970	-95,82131233
971	-95,82465522
972	-95,82802954
973	-95,83140717
974	-95,83480064
975	-95,83829283
976	-95,84192321
977	-95,84558399
978	-95,84928266
979	-95,85306376
980	-95,85696829
981	-95,86096663
982	-95,86488605
983	-95,86852936
984	-95,87186135
985	-95,87502251
986	-95,87827142
987	-95,88170275
988	-95,88541101
989	-95,88930035
990	-95,89319981
991	-95,89710885
992	-95,90114573
993	-95,90532934
994	-95,90962471
995	-95,91401053
996	-95,91848467
997	-95,92308317
998	-95,92797615
999	-95,9331985
1000	-95,93859001
1001	-95,94405313
1002	-95,94954711
1003	-95,95501241
1004	-95,96049262
1005	-95,96601788
1006	-95,97152886
1007	-95,9769723
1008	-95,98233519
1009	-95,98765601
1010	-95,99302791
1011	-95,99850074
1012	-96,00404251
1013	-96,00950019
1014	-96,01473055
1015	-96,01974481
1016	-96,02451889
