l4at56um-in-pool1pts-25deg-250rpm20/11/202208:07:50;;
Time (seconds);Raw Heat Rate (uJ / s);Raw Heat Rate (ucal / s)
12802;-91,74292791;-21,92708602
12803;-91,74767151;-21,92821977
12804;-91,75211425;-21,92928161
12805;-91,75627375;-21,93027575
12806;-91,76019937;-21,931214
12807;-91,76381816;-21,93207891
12808;-91,7671046;-21,93286439
12809;-91,77006143;-21,93357109
12810;-91,77260522;-21,93417907
12811;-91,77473465;-21,93468801
12812;-91,77653313;-21,93511786
12813;-91,77806704;-21,93548447
12814;-91,77939839;-21,93580267
12815;-91,78054896;-21,93607767
12816;-91,78152278;-21,93631042
12817;-91,78222102;-21,9364773
12818;-91,78254641;-21,93655507
12819;-91,78236404;-21,93651148
12820;-91,78157989;-21,93632407
12821;-91,78019668;-21,93599347
12822;-91,77833618;-21,9355488
12823;-91,77609718;-21,93501367
12824;-91,77352749;-21,9343995
12825;-91,77066283;-21,93371483
12826;-91,76746377;-21,93295023
12827;-91,76386446;-21,93208998
12828;-91,75971736;-21,9310988
12829;-91,75496552;-21,92996308
12830;-91,74966681;-21,92869666
12831;-91,74393285;-21,92732621
12832;-91,73799;-21,92590583
12833;-91,73211242;-21,92450106
12834;-91,72658443;-21,92317984
12835;-91,72163851;-21,92199773
12836;-91,71738366;-21,9209808
12837;-91,71382744;-21,92013084
12838;-91,71098316;-21,91945104
12839;-91,70889572;-21,91895213
12840;-91,70757147;-21,91863563
12841;-91,70694167;-21,9184851
12842;-91,70696925;-21,91849169
12843;-91,70775142;-21,91867864
12844;-91,70926339;-21,91904001
12845;-91,71153352;-21,91958258
12846;-91,71459057;-21,92031323
12847;-91,71837039;-21,92121663
12848;-91,72278694;-21,92227221
12849;-91,72765237;-21,92343508
12850;-91,73264656;-21,92462872
12851;-91,73758884;-21,92580995
12852;-91,74237918;-21,92695487
12853;-91,74689978;-21,92803532
12854;-91,75115985;-21,9290535
12855;-91,75523649;-21,93002784
12856;-91,75913785;-21,93096029
12857;-91,7628752;-21,93185354
12858;-91,7664699;-21,93271269
12859;-91,76995816;-21,9335464
12860;-91,77322839;-21,93432801
12861;-91,77617027;-21,93503113
12862;-91,77876586;-21,9356515
12863;-91,78097872;-21,93618038
12864;-91,78288505;-21,93663601
12865;-91,78463746;-21,93705484
12866;-91,78629393;-21,93745075
12867;-91,78785366;-21,93782353
12868;-91,78935229;-21,93818171
12869;-91,79075567;-21,93851713
12870;-91,79202069;-21,93881948
12871;-91,79315563;-21,93909073
12872;-91,7941392;-21,93932581
12873;-91,79494266;-21,93951784
12874;-91,79555142;-21,93966334
12875;-91,79600569;-21,93977191
12876;-91,79635622;-21,93985569
12877;-91,79662266;-21,93991937
12878;-91,79682195;-21,93996701
12879;-91,79694674;-21,93999683
12880;-91,79702494;-21,94001552
12881;-91,79712761;-21,94004006
12882;-91,79725527;-21,94007057
12883;-91,7973481;-21,94009276
12884;-91,79739671;-21,94010438
12885;-91,79747256;-21,9401225
12886;-91,79764814;-21,94016447
12887;-91,79795028;-21,94023668
12888;-91,79838752;-21,94034119
12889;-91,79896955;-21,94048029
12890;-91,79978235;-21,94067456
12891;-91,80091015;-21,94094411
12892;-91,80232196;-21,94128154
12893;-91,80393392;-21,94166681
12894;-91,80568378;-21,94208503
12895;-91,80750208;-21,94251962
12896;-91,8092641;-21,94294075
12897;-91,81095636;-21,94334521
12898;-91,81259973;-21,94373799
12899;-91,81417916;-21,94411548
12900;-91,81563648;-21,94446379
12901;-91,81697746;-21,94478429
12902;-91,81825412;-21,94508942
12903;-91,8195008;-21,94538738
12904;-91,82074283;-21,94568423
12905;-91,82193165;-21,94596837
12906;-91,82293884;-21,94620909
12907;-91,82374178;-21,946401
12908;-91,82439415;-21,94655692
12909;-91,82492224;-21,94668314
12910;-91,82532301;-21,94677892
12911;-91,82565797;-21,94685898
12912;-91,82595709;-21,94693047
12913;-91,82627608;-21,94700671
12914;-91,82661609;-21,94708798
12915;-91,82691516;-21,94715946
12916;-91,82717511;-21,94722159
12917;-91,82741622;-21,94727921
12918;-91,82760495;-21,94732432
12919;-91,82769181;-21,94734508
12920;-91,82764709;-21,94733439
12921;-91,82746898;-21,94729182
12922;-91,82718067;-21,94722291
12923;-91,82682793;-21,94713861
12924;-91,82649256;-21,94705845
12925;-91,82628517;-21,94700888
12926;-91,82620087;-21,94698874
12927;-91,82625811;-21,94700242
12928;-91,82640172;-21,94703674
12929;-91,826555;-21,94707337
12930;-91,82678769;-21,94712899
12931;-91,82711892;-21,94720815
12932;-91,82747943;-21,94729432
12933;-91,82793403;-21,94740297
12934;-91,82856112;-21,94755285
12935;-91,82939578;-21,94775234
12936;-91,83046035;-21,94800678
12937;-91,83171317;-21,94830621
12938;-91,83306614;-21,94862957
12939;-91,8344176;-21,94895258
12940;-91,83565856;-21,94924918
12941;-91,83682275;-21,94952743
12942;-91,8379344;-21,94979312
12943;-91,83905786;-21,95006163
12944;-91,84041963;-21,9503871
12945;-91,84214077;-21,95079846
12946;-91,84424967;-21,9513025
12947;-91,84678237;-21,95190783
12948;-91,84972214;-21,95261045
12949;-91,85301863;-21,95339833
12950;-91,85658978;-21,95425186
12951;-91,86037361;-21,95515622
12952;-91,86422407;-21,9560765
12953;-91,86803299;-21,95698685
12954;-91,87175411;-21,95787622
12955;-91,87534168;-21,95873367
12956;-91,87867185;-21,9595296
12957;-91,88161284;-21,96023251
12958;-91,88405256;-21,96081562
12959;-91,88586538;-21,96124889
12960;-91,8869321;-21,96150385
12961;-91,88719133;-21,96156581
12962;-91,88667022;-21,96144126
12963;-91,8853954;-21,96113657
12964;-91,88342049;-21,96066455
12965;-91,88077502;-21,96003227
12966;-91,87753463;-21,9592578
12967;-91,87391192;-21,95839195
12968;-91,87006623;-21,95747281
12969;-91,86605965;-21,95651521
12970;-91,86199186;-21,95554299
12971;-91,8579496;-21,95457686
12972;-91,85402731;-21,95363941
12973;-91,8503685;-21,95276494
12974;-91,84696101;-21,95195053
12975;-91,84384416;-21,95120558
12976;-91,84110286;-21,9505504
12977;-91,83871503;-21,94997969
12978;-91,83664287;-21,94948443
12979;-91,83486921;-21,94906052
12980;-91,83343134;-21,94871686
12981;-91,83235298;-21,94845913
12982;-91,8316024;-21,94827973
12983;-91,83123931;-21,94819295
12984;-91,83135443;-21,94822047
12985;-91,83193402;-21,94835899
12986;-91,83289465;-21,94858859
12987;-91,83419642;-21,94889972
12988;-91,83569605;-21,94925814
12989;-91,83726775;-21,94963378
12990;-91,83881448;-21,95000346
12991;-91,84028555;-21,95035505
12992;-91,84175679;-21,95070669
12993;-91,84334598;-21,95108651
12994;-91,84506613;-21,95149764
12995;-91,84692637;-21,95194225
12996;-91,84901497;-21,95244144
12997;-91,85131469;-21,95299108
12998;-91,85361333;-21,95354047
12999;-91,8557943;-21,95406174
13000;-91,85780973;-21,95454343
13001;-91,85972259;-21,95500062
13002;-91,86157482;-21,95544331
13003;-91,86344104;-21,95588935
13004;-91,86544175;-21,95636753
13005;-91,86767719;-21,95690181
13006;-91,87027209;-21,95752201
13007;-91,87323351;-21,95822981
13008;-91,8763426;-21,9589729
13009;-91,87941964;-21,95970833
13010;-91,88232335;-21,96040233
13011;-91,88485189;-21,96100667
13012;-91,88695262;-21,96150875
13013;-91,88875527;-21,9619396
13014;-91,8903379;-21,96231785
13015;-91,89181658;-21,96267127
13016;-91,89323995;-21,96301146
13017;-91,89455397;-21,96332552
13018;-91,89574473;-21,96361012
13019;-91,89678823;-21,96385952
13020;-91,89751433;-21,96403306
13021;-91,89766103;-21,96406812
13022;-91,89699512;-21,96390897
13023;-91,89559575;-21,96357451
13024;-91,89372577;-21,96312757
13025;-91,89158259;-21,96261534
13026;-91,88930657;-21,96207136
13027;-91,88706543;-21,96153571
13028;-91,88484655;-21,96100539
13029;-91,88250938;-21,96044679
13030;-91,87990901;-21,95982529
13031;-91,87698051;-21,95912536
13032;-91,87373765;-21,9583503
13033;-91,87019971;-21,95750471
13034;-91,8664855;-21,95661699
13035;-91,86279152;-21,95573411
13036;-91,85918683;-21,95487257
13037;-91,85575864;-21,95405321
13038;-91,85248481;-21,95327075
13039;-91,84922216;-21,95249096
13040;-91,84585121;-21,95168528
13041;-91,8424172;-21,95086453
13042;-91,83898468;-21,95004414
13043;-91,83565914;-21,94924932
13044;-91,8325131;-21,94849739
13045;-91,82950638;-21,94777877
13046;-91,82668134;-21,94710357
13047;-91,82416825;-21,94650293
13048;-91,82211799;-21,9460129
13049;-91,82057381;-21,94564384
13050;-91,81953635;-21,94539588
13051;-91,81909588;-21,9452906
13052;-91,81933859;-21,94534861
13053;-91,82037512;-21,94559635
13054;-91,82217726;-21,94602707
13055;-91,82462308;-21,94661164
13056;-91,82757639;-21,94731749
13057;-91,83085153;-21,94810027
13058;-91,83427831;-21,94891929
13059;-91,83781022;-21,94976344
13060;-91,84146968;-21,95063807
13061;-91,84519448;-21,95152832
13062;-91,84883307;-21,95239796
13063;-91,85224681;-21,95321387
13064;-91,8553633;-21,95395872
13065;-91,85809542;-21,95461172
13066;-91,86039997;-21,95516252
13067;-91,86223614;-21,95560137
13068;-91,86348247;-21,95589925
13069;-91,86413781;-21,95605588
13070;-91,86429206;-21,95609275
13071;-91,86389732;-21,9559984
13072;-91,8629614;-21,95577471
13073;-91,86162732;-21,95545586
13074;-91,85999955;-21,95506681
13075;-91,85822982;-21,95464384
13076;-91,85639805;-21,95420604
13077;-91,85455877;-21,95376644
13078;-91,85269443;-21,95332085
13079;-91,85076123;-21,9528588
13080;-91,84878164;-21,95238567
13081;-91,84679729;-21,9519114
13082;-91,844841;-21,95144383
13083;-91,84300336;-21,95100463
13084;-91,84139214;-21,95061954
13085;-91,84006999;-21,95030353
13086;-91,83911651;-21,95007565
13087;-91,83858568;-21,94994878
13088;-91,83839929;-21,94990423
13089;-91,83857043;-21,94994513
13090;-91,83901019;-21,95005024
13091;-91,83959329;-21,9501896
13092;-91,84026842;-21,95035096
13093;-91,84105724;-21,95053949
13094;-91,84200121;-21,95076511
13095;-91,84315174;-21,95104009
13096;-91,84452501;-21,95136831
13097;-91,84607889;-21,9517397
13098;-91,84776649;-21,95214304
13099;-91,84952495;-21,95256332
13100;-91,85129311;-21,95298592
13101;-91,85303952;-21,95340333
13102;-91,85462454;-21,95378216
13103;-91,85601399;-21,95411424
13104;-91,85716062;-21,95438829
13105;-91,85805111;-21,95460112
13106;-91,85878915;-21,95477752
13107;-91,85946856;-21,9549399
13108;-91,86010774;-21,95509267
13109;-91,86075364;-21,95524705
13110;-91,86142501;-21,95540751
13111;-91,86204814;-21,95555644
13112;-91,86265593;-21,9557017
13113;-91,8632374;-21,95584068
13114;-91,86374398;-21,95596176
13115;-91,86424529;-21,95608157
13116;-91,8648219;-21,95621938
13117;-91,86559665;-21,95640455
13118;-91,86659407;-21,95664294
13119;-91,86783837;-21,95694034
13120;-91,86941693;-21,95731762
13121;-91,87139155;-21,95778957
13122;-91,87377914;-21,95836022
13123;-91,87658479;-21,95903078
13124;-91,87964979;-21,95976333
13125;-91,88282068;-21,96052119
13126;-91,88612677;-21,96131137
13127;-91,88956354;-21,96213278
13128;-91,89309853;-21,96297766
13129;-91,89672766;-21,96384504
13130;-91,90046026;-21,96473716
13131;-91,90427366;-21,96564858
13132;-91,90816795;-21,96657934
13133;-91,91219611;-21,96754209
13134;-91,91639996;-21,96854684
13135;-91,92066368;-21,96956589
13136;-91,92478955;-21,970552
13137;-91,92866808;-21,97147899
13138;-91,93223286;-21,97233099
13139;-91,93554475;-21,97312255
13140;-91,93870782;-21,97387854
13141;-91,94178702;-21,97461449
13142;-91,9447935;-21,97533305
13143;-91,94774807;-21,97603921
13144;-91,95069603;-21,97674379
13145;-91,95359388;-21,9774364
13146;-91,95642305;-21,97811258
13147;-91,95914506;-21,97876316
13148;-91,96175076;-21,97938594
13149;-91,96418795;-21,97996844
13150;-91,96641904;-21,98050168
13151;-91,96850205;-21,98099953
13152;-91,97046897;-21,98146964
13153;-91,97235843;-21,98192123
13154;-91,97419323;-21,98235976
13155;-91,97589565;-21,98276665
13156;-91,97730546;-21,9831036
13157;-91,9783637;-21,98335652
13158;-91,97906674;-21,98352455
13159;-91,97938702;-21,9836011
13160;-91,97937119;-21,98359732
13161;-91,97906313;-21,98352369
13162;-91,97849446;-21,98338778
13163;-91,97763564;-21,98318251
13164;-91,97638261;-21,98288303
13165;-91,97476575;-21,98249659
13166;-91,97286075;-21,98204129
13167;-91,9706028;-21,98150162
13168;-91,96799852;-21,98087919
13169;-91,9651581;-21,98020031
13170;-91,96217584;-21,97948753
13171;-91,95919667;-21,97877549
13172;-91,95629573;-21,97808215
13173;-91,95344374;-21,97740051
13174;-91,95064149;-21,97673076
13175;-91,94785852;-21,97606561
13176;-91,94505328;-21,97539514
13177;-91,94218593;-21,97470983
13178;-91,93926584;-21,97401191
13179;-91,93641469;-21,97333047
13180;-91,93371621;-21,97268552
13181;-91,93112834;-21,972067
13182;-91,92871817;-21,97149096
13183;-91,92642969;-21,970944
13184;-91,92405952;-21,97037752
13185;-91,92153597;-21,96977437
13186;-91,91874976;-21,96910845
13187;-91,91558573;-21,96835223
13188;-91,91213356;-21,96752714
13189;-91,90850973;-21,96666103
13190;-91,90468624;-21,96574719
13191;-91,90067742;-21,96478906
13192;-91,89658533;-21,96381103
13193;-91,89242025;-21,96281555
13194;-91,88819189;-21,96180494
13195;-91,88397203;-21,96079637
13196;-91,87985422;-21,95981219
13197;-91,87588586;-21,95886373
13198;-91,87216693;-21,95797489
13199;-91,86875869;-21,9571603
13200;-91,86564211;-21,95641542
13201;-91,86283064;-21,95574346
13202;-91,86042196;-21,95516777
13203;-91,85841438;-21,95468795
13204;-91,8567018;-21,95427863
13205;-91,85536853;-21,95395997
13206;-91,85445206;-21,95374093
13207;-91,85390712;-21,95361069
13208;-91,85376781;-21,95357739
13209;-91,85392904;-21,95361593
13210;-91,85403824;-21,95364203
13211;-91,85318986;-21,95343926
13212;-91,84993223;-21,95266067
13213;-91,84283882;-21,9509653
13214;-91,82897837;-21,94765257
13215;-91,80415776;-21,94172031
13216;-91,76446995;-21,93223469
13217;-91,70520838;-21,91807084
13218;-91,61977618;-21,89765205
13219;-91,50482025;-21,87017692
13220;-91,36101648;-21,835807
13221;-91,18429071;-21,79356853
13222;-90,97428382;-21,74337567
13223;-90,73409828;-21,68596995
13224;-90,46121565;-21,62074944
13225;-90,1567054;-21,54796974
13226;-89,82538261;-21,46878169
13227;-89,46731409;-21,38320126
13228;-89,08562491;-21,29197536
13229;-88,68763299;-21,19685301
13230;-88,27760365;-21,09885365
13231;-87,86213424;-20,99955407
13232;-87,45027429;-20,90111718
13233;-87,05089146;-20,8056624
13234;-86,66869905;-20,71431622
13235;-86,30556219;-20,62752442
13236;-85,96866089;-20,54700308
13237;-85,66001255;-20,47323436
13238;-85,3786269;-20,40598157
13239;-85,12919728;-20,34636646
13240;-84,91273776;-20,2946314
13241;-84,72694189;-20,25022512
13242;-84,57433822;-20,21375196
13243;-84,45438341;-20,18508208
13244;-84,36443907;-20,16358486
13245;-84,3056276;-20,14952858
13246;-84,27555716;-20,14234158
13247;-84,27165303;-20,14140847
13248;-84,2923904;-20,14636482
13249;-84,33602212;-20,15679305
13250;-84,40155971;-20,17245691
13251;-84,48629151;-20,19270829
13252;-84,58767676;-20,21693995
13253;-84,70499568;-20,24497985
13254;-84,83638281;-20,27638212
13255;-84,97892505;-20,31045054
13256;-85,13225192;-20,34709654
13257;-85,29518117;-20,38603756
13258;-85,46516492;-20,42666466
13259;-85,64154558;-20,46882065
13260;-85,82294948;-20,51217722
13261;-86,00771157;-20,55633642
13262;-86,1938889;-20,60083387
13263;-86,38163645;-20,64570661
13264;-86,57111329;-20,69099266
13265;-86,76046248;-20,7362482
13266;-86,94893921;-20,78129522
13267;-87,13598208;-20,82599954
13268;-87,3208208;-20,87017706
13269;-87,50282498;-20,9136771
13270;-87,68178051;-20,9564485
13271;-87,8560873;-20,99810882
13272;-88,02622954;-21,03877379
13273;-88,19319426;-21,07867932
13274;-88,35475313;-21,11729281
13275;-88,51079145;-21,15458687
13276;-88,66314224;-21,19099958
13277;-88,8116296;-21,22648891
13278;-88,95430213;-21,26058846
13279;-89,09175344;-21,29344011
13280;-89,22379874;-21,3249997
13281;-89,34977254;-21,35510816
13282;-89,47138381;-21,38417395
13283;-89,58765789;-21,41196412
13284;-89,69822929;-21,43839132
13285;-89,80465723;-21,46382821
13286;-89,90694584;-21,48827577
13287;-90,00393591;-21,51145696
13288;-90,09579258;-21,53341123
13289;-90,18383823;-21,55445464
13290;-90,26821859;-21,57462203
13291;-90,34798938;-21,59368771
13292;-90,42328487;-21,61168377
13293;-90,49520517;-21,62887313
13294;-90,56321565;-21,64512802
13295;-90,6272908;-21,66044235
13296;-90,68849829;-21,67507129
13297;-90,74638425;-21,68890637
13298;-90,80083166;-21,70191961
13299;-90,85244318;-21,71425506
13300;-90,90104515;-21,72587121
13301;-90,94677206;-21,73680021
13302;-90,98994359;-21,74711845
13303;-91,03060846;-21,75683759
13304;-91,0686355;-21,76592627
13305;-91,10413634;-21,77441117
13306;-91,137404;-21,78236233
13307;-91,16865044;-21,78983041
13308;-91,1977495;-21,79678525
13309;-91,2247208;-21,80323155
13310;-91,25008848;-21,80929457
13311;-91,27362601;-21,81492018
13312;-91,29523237;-21,82008422
13313;-91,31523137;-21,82486409
13314;-91,33378705;-21,82929901
13315;-91,35077227;-21,83335857
13316;-91,36626845;-21,83706225
13317;-91,38063004;-21,84049475
13318;-91,39399874;-21,84368995
13319;-91,40639022;-21,84665158
13320;-91,41798554;-21,84942293
13321;-91,42893437;-21,85203976
13322;-91,43910198;-21,85446988
13323;-91,44847587;-21,85671029
13324;-91,4572055;-21,85879672
13325;-91,46524766;-21,86071885
13326;-91,47274829;-21,86251154
13327;-91,47988215;-21,86421657
13328;-91,48671231;-21,86584902
13329;-91,49331733;-21,86742766
13330;-91,49981276;-21,86898011
13331;-91,50628893;-21,87052795
13332;-91,51283552;-21,87209262
13333;-91,51951111;-21,87368812
13334;-91,52623991;-21,87529635
13335;-91,53289722;-21,87688748
13336;-91,53957294;-21,87848302
13337;-91,54634508;-21,8801016
13338;-91,55317049;-21,88173291
13339;-91,56008026;-21,88338438
13340;-91,56704397;-21,88504875
13341;-91,57398448;-21,88670757
13342;-91,5810644;-21,88839971
13343;-91,58838931;-21,89015041
13344;-91,5958257;-21,89192775
13345;-91,60333122;-21,89372161
13346;-91,6110237;-21,89556016
13347;-91,61886247;-21,89743367
13348;-91,62671073;-21,89930945
13349;-91,63456919;-21,90118766
13350;-91,64259734;-21,90310644
13351;-91,65084459;-21,90507758
13352;-91,65929659;-21,90709766
13353;-91,66799744;-21,90917721
13354;-91,67680285;-21,91128175
13355;-91,68568373;-21,91340433
13356;-91,69458152;-21,91553096
13357;-91,70329351;-21,91761317
13358;-91,71174845;-21,91963395
13359;-91,72006437;-21,9216215
13360;-91,72819625;-21,92356507
13361;-91,73601798;-21,92543451
13362;-91,74352315;-21,92722829
13363;-91,75068744;-21,92894059
13364;-91,75743626;-21,9305536
13365;-91,76359919;-21,93202657
13366;-91,76903096;-21,9333248
13367;-91,77370807;-21,93444266
13368;-91,77760913;-21,93537503
13369;-91,7808204;-21,93614254
13370;-91,78334864;-21,93674681
13371;-91,78525436;-21,93720228
13372;-91,78661384;-21,93752721
13373;-91,78746731;-21,93773119
13374;-91,78779737;-21,93781008
13375;-91,78770155;-21,93778718
13376;-91,78725508;-21,93768047
13377;-91,78644787;-21,93748754
13378;-91,78534023;-21,93722281
13379;-91,78398457;-21,9368988
13380;-91,78244425;-21,93653065
13381;-91,7808511;-21,93614988
13382;-91,77926244;-21,93577018
13383;-91,77771439;-21,93540019
13384;-91,77625224;-21,93505073
13385;-91,77487135;-21,93472068
13386;-91,77358433;-21,93441308
13387;-91,77245453;-21,93414305
13388;-91,7714412;-21,93390086
13389;-91,77052243;-21,93368127
13390;-91,76972244;-21,93349007
13391;-91,7690906;-21,93333905
13392;-91,7687478;-21,93325712
13393;-91,76877468;-21,93326355
13394;-91,76913218;-21,93334899
13395;-91,76976087;-21,93349925
13396;-91,77051906;-21,93368046
13397;-91,77129161;-21,93386511
13398;-91,77202946;-21,93404146
13399;-91,77267668;-21,93419615
13400;-91,7732508;-21,93433337
13401;-91,77379046;-21,93446235
13402;-91,77424031;-21,93456986
13403;-91,77461102;-21,93465847
13404;-91,77489829;-21,93472712
13405;-91,7749837;-21,93474754
13406;-91,77480857;-21,93470568
13407;-91,77432144;-21,93458925
13408;-91,77353154;-21,93440046
13409;-91,77261792;-21,9341821
13410;-91,77170141;-21,93396305
13411;-91,77083615;-21,93375625
13412;-91,77019044;-21,93360192
13413;-91,76995163;-21,93354485
13414;-91,77018141;-21,93359976
13415;-91,77084658;-21,93375874
13416;-91,77196826;-21,93402683
13417;-91,77357301;-21,93441037
13418;-91,77560458;-21,93489593
13419;-91,77805764;-21,93548223
13420;-91,78098182;-21,93618112
13421;-91,78434988;-21,93698611
13422;-91,78808595;-21,93787905
13423;-91,79213658;-21,93884717
13424;-91,7963728;-21,93985965
13425;-91,80057706;-21,9408645
13426;-91,8046751;-21,94184395
13427;-91,80849468;-21,94275686
13428;-91,81177182;-21,94354011
13429;-91,81444509;-21,94417904
13430;-91,81649528;-21,94466904
13431;-91,81790034;-21,94500486
13432;-91,81872447;-21,94520183
13433;-91,81906289;-21,94528272
13434;-91,81897028;-21,94526058
13435;-91,81848637;-21,94514493
13436;-91,81759391;-21,94493162
13437;-91,81625173;-21,94461083
13438;-91,8145019;-21,94419261
13439;-91,8124397;-21,94369974
13440;-91,81026857;-21,94318083
13441;-91,80816427;-21,94267788
13442;-91,80620861;-21,94221047
13443;-91,80453089;-21,94180948
13444;-91,80323997;-21,94150095
13445;-91,80245737;-21,9413139
13446;-91,80226231;-21,94126728
13447;-91,80264822;-21,94135952
13448;-91,80356884;-21,94157955
13449;-91,80489098;-21,94189555
13450;-91,80644396;-21,94226672
13451;-91,80817066;-21,94267941
13452;-91,81008174;-21,94313617
13453;-91,81208434;-21,9436148
13454;-91,81405278;-21,94408527
13455;-91,8158578;-21,94451668
13456;-91,81740963;-21,94488758
13457;-91,81877913;-21,9452149
13458;-91,82000281;-21,94550736
13459;-91,82105407;-21,94575862
13460;-91,82191172;-21,9459636
13461;-91,8225471;-21,94611546
13462;-91,8229099;-21,94620218
13463;-91,82296809;-21,94621608
13464;-91,8227367;-21,94616078
13465;-91,82231375;-21,94605969
13466;-91,82185727;-21,94595059
13467;-91,82140207;-21,9458418
13468;-91,8209838;-21,94574183
13469;-91,82066431;-21,94566547
13470;-91,82048372;-21,9456223
13471;-91,82044106;-21,94561211
13472;-91,82048253;-21,94562202
13473;-91,82050654;-21,94562776
13474;-91,82045473;-21,94561537
13475;-91,82034911;-21,94559013
13476;-91,8202121;-21,94555739
13477;-91,82013878;-21,94553986
13478;-91,82023309;-21,9455624
13479;-91,82049801;-21,94562572
13480;-91,82089744;-21,94572119
13481;-91,82126031;-21,94580791
13482;-91,82152563;-21,94587133
13483;-91,82175737;-21,94592671
13484;-91,82198426;-21,94598094
13485;-91,82222106;-21,94603754
13486;-91,82251343;-21,94610742
13487;-91,82289037;-21,94619751
13488;-91,8234448;-21,94633002
13489;-91,82424871;-21,94652216
13490;-91,82526919;-21,94676606
13491;-91,82642934;-21,94704334
13492;-91,82765439;-21,94733614
13493;-91,82897304;-21,9476513
13494;-91,83048983;-21,94801382
13495;-91,83222604;-21,94842879
13496;-91,83414504;-21,94888744
13497;-91,83613486;-21,94936302
13498;-91,83802963;-21,94981588
13499;-91,83971802;-21,95021941
13500;-91,84119106;-21,95057148
13501;-91,84244466;-21,95087109
13502;-91,84338756;-21,95109645
13503;-91,84388503;-21,95121535
13504;-91,84389447;-21,95121761
13505;-91,84344529;-21,95111025
13506;-91,84257703;-21,95090273
13507;-91,84129803;-21,95059704
13508;-91,83955216;-21,95017977
13509;-91,83727216;-21,94963484
13510;-91,83447503;-21,94896631
13511;-91,83133076;-21,94821481
13512;-91,82800604;-21,94742018
13513;-91,82454027;-21,94659184
13514;-91,82099784;-21,94574518
13515;-91,81744502;-21,94489604
13516;-91,8138772;-21,94404331
13517;-91,81029942;-21,9431882
13518;-91,80673732;-21,94233684
13519;-91,8032161;-21,94149524
13520;-91,79969922;-21,94065469
13521;-91,79619654;-21,93981753
13522;-91,79280042;-21,93900584
13523;-91,78958826;-21,93823811
13524;-91,78660394;-21,93752484
13525;-91,78388576;-21,93687518
13526;-91,78138553;-21,93627761
13527;-91,77904721;-21,93571874
13528;-91,7769219;-21,93521078
13529;-91,77507027;-21,93476823
13530;-91,77345544;-21,93438228
13531;-91,77207928;-21,93405336
13532;-91,77100861;-21,93379747
13533;-91,77029077;-21,9336259
13534;-91,76989749;-21,93353191
13535;-91,76983765;-21,9335176
13536;-91,77009934;-21,93358015
13537;-91,77063799;-21,93370889
13538;-91,77138644;-21,93388777
13539;-91,77230101;-21,93410636
13540;-91,77336054;-21,93435959
13541;-91,77456136;-21,9346466
13542;-91,77587649;-21,93496092
13543;-91,77728091;-21,93529659
13544;-91,77871166;-21,93563854
13545;-91,78015873;-21,9359844
13546;-91,78165248;-21,93634142
13547;-91,78322774;-21,93671791
13548;-91,78496054;-21,93713206
13549;-91,78693214;-21,93760328
13550;-91,78916609;-21,93813721
13551;-91,79169605;-21,93874189
13552;-91,79449477;-21,9394108
13553;-91,79747864;-21,94012396
13554;-91,8006203;-21,94087483
13555;-91,80385593;-21,94164817
13556;-91,80711282;-21,94242658
13557;-91,81035288;-21,94320098
13558;-91,81350925;-21,94395537
13559;-91,81658148;-21,94468965
13560;-91,8195986;-21,94541075
13561;-91,82259165;-21,94612611
13562;-91,82558435;-21,94684138
13563;-91,82856517;-21,94755382
13564;-91,83154761;-21,94826664
13565;-91,83454616;-21,94898331
13566;-91,8374804;-21,94968461
13567;-91,84021468;-21,95033812
13568;-91,84274066;-21,95094184
13569;-91,8450857;-21,95150232
13570;-91,84731983;-21,95203629
13571;-91,84953827;-21,95256651
13572;-91,85186356;-21,95312226
13573;-91,85448657;-21,95374918
13574;-91,85743535;-21,95445395
13575;-91,86061017;-21,95521275
13576;-91,86396561;-21,95601472
13577;-91,86741116;-21,95683823
13578;-91,8708032;-21,95764895
13579;-91,87397422;-21,95840684
13580;-91,87673553;-21,95906681
13581;-91,87898683;-21,95960488
13582;-91,88076359;-21,96002954
13583;-91,8820755;-21,96034309
13584;-91,8829409;-21,96054993
13585;-91,88337043;-21,96065259
13586;-91,8833894;-21,96065712
13587;-91,88302436;-21,96056988
13588;-91,882185;-21,96036926
13589;-91,88087726;-21,96005671
13590;-91,87924492;-21,95966657
13591;-91,87731118;-21,95920439
13592;-91,87513521;-21,95868432
13593;-91,87282419;-21,95813198
13594;-91,87041364;-21,95755584
13595;-91,86804023;-21,95698858
13596;-91,86577589;-21,95644739
13597;-91,86366239;-21,95594225
13598;-91,86186781;-21,95551334
13599;-91,86058091;-21,95520576
13600;-91,85987007;-21,95503587
13601;-91,85964576;-21,95498226
13602;-91,85983114;-21,95502656
13603;-91,86044415;-21,95517308
13604;-91,86142244;-21,95540689
13605;-91,86264493;-21,95569908
13606;-91,86396156;-21,95601376
13607;-91,86527033;-21,95632656
13608;-91,86652598;-21,95662667
13609;-91,8677589;-21,95692134
13610;-91,86907942;-21,95723695
13611;-91,87061986;-21,95760513
13612;-91,87240243;-21,95803117
13613;-91,8742518;-21,95847318
13614;-91,8759173;-21,95887125
13615;-91,87728482;-21,95919809
13616;-91,87839224;-21,95946277
13617;-91,87932602;-21,95968595
13618;-91,8801892;-21,95989226
13619;-91,88104646;-21,96009715
13620;-91,88184555;-21,96028813
