1pts-51um-l8-7.7um-25deg-150rpm24/11/202208:42:41	
Time (seconds)	Raw Heat Rate (uJ / s)
569	-94,68124781
570	-94,68559044
571	-94,68995932
572	-94,6942886
573	-94,69856003
574	-94,70279747
575	-94,70695355
576	-94,71106953
577	-94,71517107
578	-94,71923668
579	-94,72329648
580	-94,72729558
581	-94,73112212
582	-94,73478732
583	-94,7384738
584	-94,74209199
585	-94,74571017
586	-94,74942616
587	-94,75322028
588	-94,75707489
589	-94,76101189
590	-94,76508533
591	-94,76931162
592	-94,77372225
593	-94,77829855
594	-94,78296625
595	-94,78774404
596	-94,79268342
597	-94,79763769
598	-94,80251873
599	-94,80749967
600	-94,81261348
601	-94,8177767
602	-94,82302014
603	-94,82838796
604	-94,83384718
605	-94,83928405
606	-94,84462903
607	-94,84981722
608	-94,85476148
609	-94,85943438
610	-94,86375588
611	-94,86767437
612	-94,87134554
613	-94,87484189
614	-94,87814633
615	-94,88124268
616	-94,88418275
617	-94,88700194
618	-94,88973646
619	-94,89243674
620	-94,89521544
621	-94,89808597
622	-94,9010886
623	-94,90421325
624	-94,9074665
625	-94,91091255
626	-94,914588
627	-94,91844879
628	-94,92247956
629	-94,92683804
630	-94,93157692
631	-94,93653026
632	-94,94156474
633	-94,94661981
634	-94,95166831
635	-94,95667314
636	-94,96165563
637	-94,96655918
638	-94,97147883
639	-94,97649647
640	-94,98169378
641	-94,98707952
642	-94,99259711
643	-94,99824933
644	-95,00381234
645	-95,00920048
646	-95,01458837
647	-95,02011544
648	-95,02575303
649	-95,03140445
650	-95,03704191
651	-95,04260621
652	-95,04810968
653	-95,05356604
654	-95,05896311
655	-95,0641643
656	-95,0691582
657	-95,07407049
658	-95,07893003
659	-95,08376857
660	-95,08864703
661	-95,09348785
662	-95,09818826
663	-95,10272628
664	-95,10719665
665	-95,11162939
666	-95,11601955
667	-95,12041348
668	-95,12483272
669	-95,12929616
670	-95,13389699
671	-95,13866634
672	-95,14349536
673	-95,14827479
674	-95,15303363
675	-95,1576827
676	-95,16226001
677	-95,16679131
678	-95,17131473
679	-95,17587048
680	-95,18048954
681	-95,18526035
682	-95,19016206
683	-95,19513338
684	-95,20010752
685	-95,20499842
686	-95,20967978
687	-95,21414312
688	-95,2185537
689	-95,22301266
690	-95,22762054
691	-95,23238477
692	-95,23734686
693	-95,24247581
694	-95,24760957
695	-95,25261576
696	-95,25740956
697	-95,26201646
698	-95,26653706
699	-95,27111375
700	-95,27582406
701	-95,2808235
702	-95,28618945
703	-95,29174938
704	-95,29740584
705	-95,30309928
706	-95,30879506
707	-95,31453249
708	-95,32032333
709	-95,32622092
710	-95,33226216
711	-95,33840837
712	-95,34458854
713	-95,35072475
714	-95,35674103
715	-95,36263772
716	-95,36848642
717	-95,37430036
718	-95,38006438
719	-95,38577072
720	-95,39139091
721	-95,39692883
722	-95,40231145
723	-95,40753187
724	-95,41267945
725	-95,41777691
726	-95,42280403
727	-95,42777013
728	-95,43273347
729	-95,43773085
730	-95,44272341
731	-95,44752139
732	-95,452108
733	-95,45662854
734	-95,46109517
735	-95,46556319
736	-95,47000524
737	-95,47436457
738	-95,47861253
739	-95,4827314
740	-95,48679688
741	-95,4909376
742	-95,49520536
743	-95,49953386
744	-95,50386602
745	-95,50818539
746	-95,51250462
747	-95,51686732
748	-95,52128648
749	-95,52573644
750	-95,53017501
751	-95,53460707
752	-95,53909265
753	-95,54366196
754	-95,54823282
755	-95,55274252
756	-95,55720306
757	-95,5616312
758	-95,56604134
759	-95,57045614
760	-95,57484548
761	-95,57920675
762	-95,58348989
763	-95,58765057
764	-95,59178913
765	-95,59591862
766	-95,59997481
767	-95,6039194
768	-95,6077322
769	-95,61146138
770	-95,61513875
771	-95,61875054
772	-95,62228577
773	-95,625827
774	-95,62942585
775	-95,63309707
776	-95,63684014
777	-95,64058477
778	-95,6442485
779	-95,64772347
780	-95,65102078
781	-95,65424037
782	-95,65743632
783	-95,66065696
784	-95,66388767
785	-95,66709748
786	-95,67031585
787	-95,67359554
788	-95,67688806
789	-95,68013966
790	-95,68335386
791	-95,68650317
792	-95,6896608
793	-95,69291189
794	-95,69629907
795	-95,69984304
796	-95,70354777
797	-95,7073264
798	-95,71112124
799	-95,71492611
800	-95,71872811
801	-95,72251066
802	-95,72620347
803	-95,72982021
804	-95,73339902
805	-95,73700107
806	-95,74064154
807	-95,74432078
808	-95,74802302
809	-95,75178178
810	-95,75560082
811	-95,75942561
812	-95,76332467
813	-95,76727858
814	-95,77127149
815	-95,77531496
816	-95,77932071
817	-95,78320977
818	-95,78691156
819	-95,79046543
820	-95,79388283
821	-95,79720805
822	-95,80044333
823	-95,80360235
824	-95,80670418
825	-95,80977406
826	-95,81294671
827	-95,81620028
828	-95,81947876
829	-95,82277745
830	-95,82617477
831	-95,82976344
832	-95,83356039
833	-95,83750114
834	-95,84141312
835	-95,84525681
836	-95,8490781
837	-95,85283512
838	-95,85647214
839	-95,85995942
840	-95,86325745
841	-95,86624782
842	-95,86897222
843	-95,87162678
844	-95,87428595
845	-95,8769417
846	-95,87958636
847	-95,88219849
848	-95,88480266
849	-95,8874574
850	-95,89010809
851	-95,89263569
852	-95,89507716
853	-95,89754376
854	-95,9000488
855	-95,90259147
856	-95,90520341
857	-95,907876
858	-95,91054631
859	-95,91316772
860	-95,91562325
861	-95,91786134
862	-95,91992167
863	-95,92183576
864	-95,92361992
865	-95,92535871
866	-95,92716281
867	-95,92901047
868	-95,93080657
869	-95,9325112
870	-95,93415231
871	-95,93578204
872	-95,93741818
873	-95,93911876
874	-95,94087792
875	-95,94264631
876	-95,94441843
877	-95,94618812
878	-95,94791311
879	-95,94956653
880	-95,95114218
881	-95,95266196
882	-95,95416211
883	-95,95568
884	-95,95722507
885	-95,95872959
886	-95,96011722
887	-95,96136527
888	-95,96233979
889	-95,96297967
890	-95,96337258
891	-95,96363035
892	-95,9638521
893	-95,96413651
894	-95,96454837
895	-95,96508388
896	-95,96564942
897	-95,96622499
898	-95,96683001
899	-95,96746042
900	-95,96814786
901	-95,96893791
902	-95,96983145
903	-95,97086707
904	-95,9720797
905	-95,97344653
906	-95,97483716
907	-95,97617349
908	-95,9774188
909	-95,97849793
910	-95,97940421
911	-95,9802569
912	-95,98113499
913	-95,98208632
914	-95,98315288
915	-95,98433354
916	-95,985537
917	-95,98671547
918	-95,98794775
919	-95,98928058
920	-95,9907204
921	-95,99227481
922	-95,99394932
923	-95,99573999
924	-95,99766631
925	-95,99970416
926	-96,00174599
927	-96,00371894
928	-96,00560278
929	-96,00745055
930	-96,00932315
931	-96,01124707
932	-96,01323858
933	-96,01529518
934	-96,01748518
935	-96,01984281
936	-96,02241327
937	-96,02514799
938	-96,02792747
939	-96,03068547
940	-96,03333312
941	-96,03587897
942	-96,038394
943	-96,04093617
944	-96,04347761
945	-96,04605136
946	-96,04874727
947	-96,05155566
948	-96,05434687
949	-96,05693836
950	-96,05922312
951	-96,06111577
952	-96,06266157
953	-96,06400399
954	-96,06529451
955	-96,06671854
956	-96,06837411
957	-96,07015917
958	-96,07192137
959	-96,07362421
960	-96,07517632
961	-96,07653367
962	-96,0778095
963	-96,07906561
964	-96,08038501
965	-96,08187831
966	-96,08361937
967	-96,08561063
968	-96,08782672
969	-96,0901831
970	-96,09258624
971	-96,09497993
972	-96,09744114
973	-96,10006166
974	-96,1028193
975	-96,10585854
976	-96,10924222
977	-96,11280607
978	-96,11648722
979	-96,12034995
980	-96,1244299
981	-96,12874227
982	-96,13343314
983	-96,13851783
984	-96,14393717
985	-96,14964501
986	-96,15553591
987	-96,1614914
988	-96,16743172
989	-96,17333908
990	-96,1790315
991	-96,1844129
992	-96,18957117
993	-96,19458913
994	-96,19945441
995	-96,20417259
996	-96,20874535
997	-96,21308906
998	-96,21715773
999	-96,22094667
1000	-96,22446296
1001	-96,22775271
1002	-96,23088555
1003	-96,23384528
1004	-96,23661593
1005	-96,23927301
1006	-96,24194385
1007	-96,24476511
1008	-96,24775148
1009	-96,25081127
1010	-96,25393994
1011	-96,25711728
1012	-96,26019704
1013	-96,2631496
1014	-96,26600211
1015	-96,26879761
1016	-96,27160779
1017	-96,27442909
1018	-96,27733355
1019	-96,28037074
1020	-96,28352706
1021	-96,28674216
1022	-96,28984465
1023	-96,29272811
1024	-96,29542368
1025	-96,29778468
1026	-96,29979886
1027	-96,30162116
1028	-96,30335555
1029	-96,30504996
1030	-96,30668461
1031	-96,30819401
1032	-96,30953742
1033	-96,31069139
1034	-96,31166716
1035	-96,3124302
1036	-96,31294758
1037	-96,31332234
1038	-96,31366539
1039	-96,31398591
1040	-96,3143756
1041	-96,31482366
1042	-96,31524189
1043	-96,31558573
1044	-96,31592121
1045	-96,31631743
1046	-96,31679852
1047	-96,31742865
1048	-96,31820761
1049	-96,31908965
1050	-96,3200388
1051	-96,32097686
1052	-96,32167426
1053	-96,32199634
1054	-96,32203144
1055	-96,32181955
1056	-96,32145985
1057	-96,32104774
1058	-96,32060176
1059	-96,32005461
1060	-96,31938223
1061	-96,31868652
1062	-96,31799513
1063	-96,31732223
1064	-96,3166881
1065	-96,3161286
1066	-96,31575264
1067	-96,31573207
1068	-96,31613272
1069	-96,31694298
1070	-96,31817535
1071	-96,31975445
1072	-96,32164352
1073	-96,32381738
1074	-96,32624093
1075	-96,32887379
1076	-96,33166434
1077	-96,33456878
1078	-96,33747983
1079	-96,34033379
1080	-96,34310679
1081	-96,34577295
1082	-96,34837139
1083	-96,35102278
1084	-96,35374474
1085	-96,35645276
1086	-96,35911619
1087	-96,36166888
1088	-96,36408413
1089	-96,3663444
1090	-96,36842821
1091	-96,37026945
1092	-96,37182447
1093	-96,37319934
1094	-96,37451764
1095	-96,37585303
1096	-96,37718393
1097	-96,37845364
1098	-96,37957477
1099	-96,38045298
1100	-96,38116183
1101	-96,3817286
1102	-96,38212895
1103	-96,38235761
1104	-96,38242723
1105	-96,38238594
1106	-96,38224843
1107	-96,38201592
1108	-96,38169974
1109	-96,3812498
1110	-96,38060376
1111	-96,37976514
1112	-96,37874785
1113	-96,3775416
1114	-96,37609235
1115	-96,37439412
1116	-96,37254914
1117	-96,37077152
1118	-96,36917957
1119	-96,36785414
1120	-96,36681717
1121	-96,36603755
1122	-96,36548483
1123	-96,36506788
1124	-96,36473299
1125	-96,36452488
1126	-96,36451909
1127	-96,36477205
1128	-96,36531815
1129	-96,36628205
1130	-96,36767146
1131	-96,36943927
1132	-96,37143196
1133	-96,37355015
1134	-96,37565716
1135	-96,37764967
1136	-96,37953721
1137	-96,38131811
1138	-96,3830319
1139	-96,38470986
1140	-96,38635467
1141	-96,38793036
1142	-96,38941051
1143	-96,39082237
1144	-96,39217001
1145	-96,39341113
1146	-96,39447943
1147	-96,39538109
1148	-96,39607498
1149	-96,39662731
1150	-96,39712195
1151	-96,39758197
1152	-96,39804691
1153	-96,3985477
1154	-96,39913386
1155	-96,39983196
1156	-96,40066706
1157	-96,40162336
1158	-96,40260155
1159	-96,40348491
1160	-96,40422921
1161	-96,40481483
1162	-96,40523453
1163	-96,40559682
1164	-96,40597041
1165	-96,40633562
1166	-96,40668106
1167	-96,40700979
1168	-96,40731955
1169	-96,40751943
1170	-96,40756151
1171	-96,40744177
1172	-96,40722132
1173	-96,40703743
1174	-96,40698338
1175	-96,40717456
1176	-96,40768301
1177	-96,40843705
1178	-96,40933653
1179	-96,41022538
1180	-96,41104572
1181	-96,41173248
1182	-96,41229511
1183	-96,41281047
1184	-96,41340651
1185	-96,41409816
1186	-96,41480632
1187	-96,41542649
1188	-96,41583616
1189	-96,41598945
1190	-96,41581667
1191	-96,41529107
1192	-96,41447506
1193	-96,41343401
1194	-96,41231359
1195	-96,41124167
1196	-96,41034652
1197	-96,40961577
1198	-96,40894957
1199	-96,40825219
1200	-96,40749829
1201	-96,40672809
1202	-96,40599919
1203	-96,40537701
1204	-96,40492345
1205	-96,40461541
1206	-96,40442171
1207	-96,40434515
1208	-96,40434622
1209	-96,40437649
1210	-96,40442699
1211	-96,4045194
1212	-96,40471633
1213	-96,40505439
1214	-96,40551048
1215	-96,40602877
1216	-96,40659746
1217	-96,40720631
1218	-96,40780868
1219	-96,40835184
1220	-96,40886635
1221	-96,4094161
1222	-96,41002691
1223	-96,41071614
1224	-96,41148434
1225	-96,412264
1226	-96,41296389
1227	-96,41348789
1228	-96,41374515
1229	-96,4137419
1230	-96,41358226
1231	-96,41333495
1232	-96,41303906
1233	-96,4127775
1234	-96,41256058
1235	-96,4123838
1236	-96,4122422
1237	-96,4121913
1238	-96,41224139
1239	-96,41235011
1240	-96,41246523
1241	-96,41254496
1242	-96,41264404
1243	-96,41282508
1244	-96,4131052
1245	-96,41344336
1246	-96,41377775
1247	-96,41407043
1248	-96,41429415
1249	-96,41445372
1250	-96,41448498
1251	-96,4142539
1252	-96,41369364
1253	-96,41284992
1254	-96,41182664
1255	-96,41071721
1256	-96,40958717
1257	-96,40839687
1258	-96,40714867
1259	-96,40588923
1260	-96,40466238
1261	-96,40353529
1262	-96,40254515
1263	-96,40165197
1264	-96,40084405
1265	-96,40016808
1266	-96,39968591
1267	-96,39937188
1268	-96,39923009
1269	-96,39928774
