scan 1120/11/202208:13:50		
temp(°=C)	power	time(seconds)
17,53299332	-1,260956049	753,2492065
17,63489914	-1,261910677	759,3608398
17,73675919	-1,264832377	765,4711914
17,83862114	-1,267484188	771,5863037
17,94062424	-1,268610597	777,7064209
18,04255867	-1,269172072	783,8231201
18,14450836	-1,270514846	789,9404297
18,24639511	-1,274851918	796,052002
18,34838104	-1,28076303	802,1724243
18,45036125	-1,286903739	808,289978
18,55224419	-1,300979018	814,4046021
18,65433121	-1,308406353	820,5272827
18,75629425	-1,314968944	826,6477661
18,85821533	-1,330574274	832,7631226
18,96020317	-1,345032573	838,8827515
19,06207466	-1,359255552	844,9943237
19,16387367	-1,369754195	851,1027222
19,26581764	-1,383735776	857,2197266
19,36769867	-1,39835906	863,3322144
19,46972084	-1,411768556	869,4556885
19,5716095	-1,421166062	875,5667114
19,67353249	-1,43578589	881,6831665
19,77539063	-1,455446243	887,7946777
19,87730789	-1,471801519	893,9108887
19,97922134	-1,4869591	900,0255737
20,08104706	-1,499968052	906,1329346
20,18296814	-1,509875536	912,2492676
20,28483963	-1,522590399	918,3633423
20,3867836	-1,545294404	924,4812622
20,48879623	-1,563027024	930,6030273
20,59082794	-1,57395041	936,7225342
20,6927433	-1,586166143	942,8393555
20,79456711	-1,591880441	948,949646
20,8965416	-1,604031205	955,0652466
20,99847412	-1,621021509	961,1827393
21,10029984	-1,629530072	967,2944946
21,20224571	-1,631517529	973,4111938
21,30414009	-1,63372612	979,5231934
21,40590858	-1,639171124	985,6311035
21,50779915	-1,640987873	991,7446899
21,60984039	-1,646782041	997,8657227
21,71166801	-1,655025721	1003,974365
21,81351471	-1,6569525	1010,088135
21,91547775	-1,655935764	1016,205627
22,01740456	-1,659781814	1022,323547
22,11939812	-1,672380447	1028,440918
22,22118378	-1,673273563	1034,549438
22,32309914	-1,670388579	1040,664917
22,42512512	-1,670644999	1046,783813
22,52704239	-1,676482081	1052,9021
22,62893677	-1,684637308	1059,015625
22,7308197	-1,687458158	1065,128784
22,83272934	-1,690292597	1071,243774
22,93464279	-1,688145161	1077,359375
23,0365715	-1,684659123	1083,472534
23,1384182	-1,68508327	1089,585449
23,24030113	-1,690102816	1095,697266
23,34217262	-1,691100359	1101,811279
23,44407082	-1,690937996	1107,925537
23,54600906	-1,6902107	1114,040161
23,64788246	-1,69439292	1120,152832
23,74978065	-1,695986032	1126,269165
23,85161018	-1,694424629	1132,377441
23,95342827	-1,691694379	1138,48584
24,05542755	-1,689969182	1144,606079
24,15724564	-1,68777895	1150,716675
24,25922394	-1,686614513	1156,836792
24,36103821	-1,685599446	1162,943604
24,46293068	-1,684684515	1169,057373
24,56495094	-1,683458805	1175,180176
24,66687584	-1,681987166	1181,294556
24,76874924	-1,681176066	1187,406372
24,87071228	-1,68086195	1193,524048
24,97270393	-1,67825985	1199,644287
25,07473564	-1,672919631	1205,766602
25,1766758	-1,667991638	1211,882202
25,27853012	-1,658385158	1217,993896
25,38038063	-1,651710391	1224,105591
25,48231125	-1,647914886	1230,222534
25,58423233	-1,64874208	1236,333984
25,68601036	-1,650078654	1242,442993
25,78796005	-1,646103859	1248,561279
25,89002419	-1,640887737	1254,685547
25,99188614	-1,637418509	1260,794312
26,09375381	-1,631081462	1266,908447
26,19568443	-1,6293962	1273,023682
26,29773903	-1,633608937	1279,14624
26,399683	-1,634201646	1285,262451
26,50160217	-1,627223015	1291,378296
26,60350609	-1,607282162	1297,494141
26,70542336	-1,589975595	1303,608765
26,80740738	-1,580579162	1309,726807
26,90934753	-1,566248655	1315,844727
27,01115227	-1,554559827	1321,953613
27,11298752	-1,547031999	1328,063232
27,21481705	-1,545255899	1334,171509
27,31666374	-1,534997225	1340,284058
27,41857338	-1,517239213	1346,396973
27,5205574	-1,510743618	1352,516602
27,62248039	-1,505879402	1358,631592
27,72451401	-1,500308037	1364,754395
27,8264122	-1,493329406	1370,868164
27,92831612	-1,483874202	1376,979736
28,03022957	-1,471140265	1383,099365
28,13215446	-1,455634832	1389,213745
28,23404884	-1,450687647	1395,325317
28,335989	-1,444733858	1401,441895
28,43793488	-1,428124309	1407,560669
28,53995514	-1,413152814	1413,682129
28,6419754	-1,405919552	1419,802124
28,74391556	-1,391634583	1425,918823
28,84572029	-1,378606796	1432,027954
28,94760513	-1,35940516	1438,14209
29,04954338	-1,35676837	1444,255737
29,15149689	-1,350812554	1450,371948
29,25346184	-1,33955884	1456,490356
29,35534096	-1,332233548	1462,602051
29,45724678	-1,320468068	1468,719116
29,55920792	-1,307781458	1474,83667
29,66122437	-1,292750359	1480,958374
29,76304054	-1,273413897	1487,067383
29,86498642	-1,260999084	1493,182861
29,96683502	-1,255507469	1499,293213
30,06869507	-1,248717904	1505,404785
30,17060852	-1,242272973	1511,519775
30,27243042	-1,23635757	1517,626587
30,37434769	-1,224753618	1523,741943
30,47618103	-1,209925652	1529,85498
30,57816505	-1,198612452	1535,971069
30,68007851	-1,187550664	1542,087402
30,78176308	-1,172325492	1548,189087
30,88369942	-1,165091634	1554,30481
30,98569107	-1,15960896	1560,424316
31,08758736	-1,1510216	1566,536621
31,18939781	-1,148444176	1572,64563
31,29137802	-1,139324903	1578,767212
31,39340782	-1,126271129	1584,887573
31,49538612	-1,119502902	1591,005005
31,59718895	-1,109395742	1597,113403
31,69911385	-1,098512053	1603,229736
31,80101967	-1,091118217	1609,344238
31,90288544	-1,079953671	1615,453857
32,00484467	-1,067619801	1621,571289
32,10671616	-1,067108989	1627,685669
32,20862579	-1,061779261	1633,799683
