scan 720/11/202208:13:50						
temp(C)	power	time(seconds)				
10,09873867	-2,527220726	306,8155518				
10,20043182	-2,490848541	312,9302063				
10,30192471	-2,461357117	319,0355225				
10,40368462	-2,437969923	325,1539307				
10,50543213	-2,410377502	331,2714844				
10,60714531	-2,377528667	337,3858643				
10,70892429	-2,338747025	343,5046082				
10,81074333	-2,296193361	349,6239624				
10,91239929	-2,256024599	355,7354736				
11,01418114	-2,208589315	361,8543091				
11,11600304	-2,15110445	367,9720764				
11,21765232	-2,09105587	374,0816345				
11,3194828	-2,024130106	380,2011719				
11,42124462	-1,97058332	386,3127747				
11,52291203	-1,917822361	392,4217834				
11,62468147	-1,861766458	398,5382996				
11,72644806	-1,81528151	404,6537476				
11,82827663	-1,774942756	410,7712097				
11,93001366	-1,730148196	416,8789978				
12,03172779	-1,680336118	422,9915161				
12,1335907	-1,627330661	429,110199				
12,23530102	-1,584985733	435,2219543				
12,33714104	-1,549099207	441,3356323				
12,43889999	-1,514735341	447,4460144				
12,54076958	-1,482616425	453,5660706				
12,64264774	-1,449379921	459,6825867				
12,74444485	-1,413035989	465,7943115				
12,84629345	-1,374391675	471,9130859				
12,94809151	-1,337195635	478,0267944				
13,04988289	-1,313949943	484,1384583				
13,15179253	-1,294927955	490,2593079				
13,25353432	-1,268682718	496,3652344				
13,35535717	-1,235457182	502,4793091				
13,45724583	-1,216549158	508,5983582				
13,55910587	-1,195769072	514,7134399				
13,66097641	-1,166028738	520,8302002				
13,76283169	-1,143890977	526,9442749				
13,86468697	-1,132030964	533,0596313				
13,96652412	-1,118335009	539,1754761				
14,06838989	-1,100564241	545,288208				
14,17029285	-1,087612033	551,4046631				
14,27202988	-1,076090217	557,5117798				
14,37389469	-1,052000642	563,6270752				
14,47581291	-1,029491067	569,7459106				
14,57773209	-1,016474485	575,8624268				
14,67961788	-1,01230371	581,9786377				
14,78148746	-1,000097156	588,0944824				
14,88348389	-0,993349195	594,215271				
14,98538494	-0,977418542	600,3311768				
15,08727646	-0,965896845	606,4477539				
15,18913364	-0,955489278	612,5609131				
15,29102802	-0,940785348	618,6774292				
15,39293003	-0,932492912	624,7939453				
15,49478817	-0,933135688	630,9043579				
15,59663868	-0,930828094	637,0180664				
15,69853115	-0,925984979	643,1326904				
15,80034256	-0,920870304	649,2446899				
15,90224266	-0,915728629	655,3619995				
16,00403023	-0,909997523	661,4686279				
16,10593987	-0,900212646	667,5848999				
16,2078476	-0,89452678	673,6989136				
16,30961037	-0,886240423	679,8084106				
16,41145897	-0,874083459	685,9190063				
16,51335335	-0,869055748	692,0343018				
16,61541176	-0,869419098	698,1580811				
16,71731377	-0,867087603	704,2733765				
16,81925011	-0,86370635	710,3912354				
16,92110443	-0,864893377	716,5021362				
17,02290535	-0,867004156	722,6100464				
17,12483406	-0,866989195	728,727478				
17,2266407	-0,867803633	734,8370972				
17,32855225	-0,870436609	740,9533691				
17,43058014	-0,872743666	747,0736694				
17,53258324	-0,875199676	753,1954346				
17,63454247	-0,876960278	759,3115234				
17,73648834	-0,879287183	765,4285278				
17,83849335	-0,883082092	771,5493774				
17,94039154	-0,885511696	777,6639404				
18,04230881	-0,887918413	783,777771				
18,14424515	-0,891917646	789,8982544				
18,2462635	-0,898934364	796,0170288				
18,34823608	-0,904150248	802,1356812				
18,45017052	-0,913445354	808,250061				
18,55205917	-0,92566216	814,3605347				
18,65380859	-0,94210887	820,4713135				
18,75571442	-0,955526412	826,5841064				
18,8576088	-0,974154592	832,6983643				
18,9594841	-0,994458497	838,8121948				
19,06145477	-0,999287784	844,9302979				
19,16342354	-1,003421545	851,0487061				
19,26526642	-1,014942527	857,159668				
19,36725616	-1,042400241	863,2802124				
19,46925735	-1,070147514	869,4000854				
19,5712204	-1,090632677	875,5206909				
19,67310333	-1,115025997	881,6309814				
19,77488327	-1,133777857	887,737854				
19,87687111	-1,139352798	893,8569946				
19,97870255	-1,148944497	899,96875				
20,08052444	-1,165343404	906,0782471				
20,18243599	-1,179347754	912,1934204				
20,28427887	-1,191383123	918,300354				
20,38607788	-1,205726504	924,4100342				
20,48810577	-1,219594717	930,5336914				
20,59004021	-1,237169266	936,6503296				
20,69210052	-1,24030292	942,7747803				
20,79394341	-1,249785304	948,8843994				
20,89593124	-1,265107036	955,0026245				
20,99780273	-1,27215445	961,1166992				
21,09969711	-1,270608306	967,2318726				
21,20162201	-1,271675825	973,3475342				
21,30354691	-1,285162568	979,4626465				
21,40542221	-1,289469481	985,5743408				
21,50737572	-1,294665098	991,6931763				
21,6093235	-1,306998491	997,8110962				
21,71128654	-1,314160466	1003,928406				
21,81325912	-1,315135479	1010,047729				
21,91521072	-1,317393064	1016,162903				
22,01721191	-1,320414543	1022,283264				
22,11911201	-1,323533773	1028,398315				
22,22100639	-1,322809219	1034,511963				
22,32286263	-1,319607377	1040,622925				
22,42482758	-1,318079591	1046,742065				
22,52675629	-1,321544051	1052,858154				
22,62864685	-1,326852441	1058,971069				
22,7306385	-1,335478425	1065,092041				
22,83255005	-1,338852763	1071,205811				
22,93445015	-1,342751503	1077,320313				
23,03644943	-1,342320204	1083,44165				
23,13838768	-1,339877248	1089,556885				
23,24031448	-1,3377949	1095,673828				
23,34231758	-1,338513732	1101,790527				
23,44418716	-1,33848381	1107,905518				
23,5460434	-1,340085387	1114,01709				
23,6479435	-1,343643904	1120,128906				
23,74987984	-1,343066931	1126,247192				
23,85175133	-1,341804385	1132,357544				
23,95362473	-1,341829777	1138,47168				
24,05561256	-1,341981053	1144,591431				
24,15756989	-1,3417418	1150,709473				
24,25948143	-1,34344244	1156,824585				
24,36133003	-1,345748186	1162,932983				
24,4633007	-1,346409321	1169,053223				
24,56528664	-1,345051885	1175,173706				
24,66727257	-1,34495604	1181,292236				
24,76919174	-1,344774961	1187,407349				
24,8711319	-1,344034195	1193,522461				
24,9730072	-1,342153907	1199,637085				
25,07494354	-1,339154363	1205,752441				
25,17705154	-1,337657213	1211,878174				
25,27900505	-1,334442377	1217,994995				
25,38080788	-1,32717979	1224,103394				
25,48269653	-1,31989789	1230,215576				
25,58450508	-1,316690922	1236,324585				
25,68642426	-1,315164804	1242,44104				
25,7882843	-1,311914206	1248,553955				
25,89010048	-1,311451912	1254,664551				
25,99203873	-1,313010693	1260,779297				
26,09395218	-1,309845448	1266,892212				
26,1960125	-1,303482771	1273,0177				
26,29793739	-1,297283888	1279,132202				
26,39978027	-1,289545417	1285,241455				
26,50169373	-1,281704307	1291,358032				
26,60362244	-1,276582956	1297,474365				
26,70567131	-1,270257354	1303,5979				
26,80755615	-1,266524553	1309,709717				
26,90949059	-1,259824634	1315,826782				
27,01146507	-1,251660466	1321,946533				
27,11338997	-1,246323466	1328,06311				
27,21533775	-1,240893364	1334,175049				
27,31716919	-1,230737567	1340,286865				
27,41904068	-1,219966173	1346,400757				
27,52102852	-1,21442914	1352,517822				
27,62299728	-1,20541811	1358,638062				
27,72488594	-1,19767189	1364,749023				
27,82686234	-1,198966146	1370,869385				
27,92880058	-1,198563695	1376,984985				
28,0308857	-1,193000436	1383,111328				
28,13279343	-1,18676281	1389,222778				
28,23465347	-1,178103447	1395,335938				
28,33652687	-1,17120707	1401,447754				
28,43850136	-1,158314586	1407,568481				
28,5403862	-1,151680231	1413,680176				
28,64240456	-1,14425838	1419,799683				
28,7442379	-1,142819762	1425,910278				
28,84604836	-1,139061093	1432,018433				
28,94785309	-1,132266283	1438,128174				
29,04990005	-1,123166561	1444,249268				
29,15172768	-1,118533492	1450,358887				
29,25356293	-1,111962676	1456,467041				
29,35548592	-1,10347724	1462,584717				
29,45736504	-1,097344875	1468,700928				
29,55939484	-1,094828248	1474,821289				
29,66130066	-1,090041876	1480,936279				
29,76313972	-1,084560513	1487,047119				
29,86512375	-1,077755213	1493,163086				
29,96707916	-1,070291281	1499,283081				
30,06895256	-1,056560516	1505,394043				
30,17089653	-1,046339393	1511,509033				
30,2727356	-1,042807698	1517,62085				
30,3747406	-1,036365867	1523,741577				
30,47661209	-1,025750518	1529,851929				
30,57869911	-1,017737031	1535,977539				
30,68064308	-1,007960081	1542,092773				
30,78249168	-0,993482292	1548,20813				
30,88446045	-0,985404551	1554,32312				
30,98622131	-0,981264353	1560,429321				
31,08815384	-0,977683365	1566,543823				
31,19003868	-0,974373996	1572,657837				
31,29197884	-0,969763339	1578,77771				
31,39394569	-0,963764548	1584,893188				
31,49589729	-0,959422886	1591,010986				
31,59782982	-0,954842806	1597,125977				
31,6997776	-0,94872731	1603,243042				
31,80176353	-0,94739157	1609,362549				
31,90367699	-0,938650608	1615,477295				
32,00571823	-0,921803236	1621,60144				
32,10770798	-0,910080552	1627,719604				
32,20969391	-0,904896379	1633,836426				
32,31160736	-0,901483059	1639,953125				
32,41357422	-0,889537573	1646,071777				
32,51551056	-0,883720815	1652,187378				
32,61748123	-0,879181981	1658,305054				
32,71940613	-0,871980965	1664,419922				
32,82140732	-0,864117146	1670,541504				
32,92322159	-0,85994941	1676,648682				
33,02510452	-0,858514845	1682,764282				
33,12700272	-0,854667008	1688,874512				
33,22899246	-0,846452951	1694,997314				
33,33094025	-0,842791557	1701,112305				
33,43278503	-0,83683753	1707,222656				
33,53470612	-0,831264615	1713,33728				
33,63671494	-0,821068048	1719,459351				
33,73852921	-0,81670928	1725,56897				
33,84041977	-0,814149737	1731,679321				
33,94232178	-0,808190346	1737,795288				
34,04417801	-0,798696935	1743,907959				
34,1461525	-0,792322695	1750,024536				
34,24809647	-0,781544745	1756,142456				
34,35004425	-0,766143024	1762,260132				
34,45199585	-0,747584105	1768,378174				
34,5539856	-0,73956883	1774,496216				
34,65589523	-0,730776429	1780,608398				
34,75788116	-0,718734562	1786,729858				
34,85972977	-0,70618701	1792,842407				
34,9616127	-0,699615002	1798,95459				
35,06363297	-0,702224612	1805,07373				
35,16563034	-0,704316556	1811,192871				
35,26741791	-0,704751611	1817,30188				
35,36938858	-0,704022348	1823,419922				
35,47127914	-0,69456923	1829,532959				
35,57320023	-0,683756709	1835,647827				
35,67512131	-0,682501316	1841,763672				
35,77705765	-0,680618107	1847,880981				
35,87900543	-0,676324844	1853,996826				
35,98093033	-0,667346478	1860,113159				
36,08286285	-0,663779616	1866,22876				
36,18488693	-0,66230309	1872,347534				
36,28681183	-0,65344584	1878,465332				
36,38873672	-0,645883441	1884,579346				
36,49068832	-0,632552803	1890,698486				
36,59260941	-0,626112401	1896,813477				
36,69453049	-0,61343354	1902,929199				
36,79652023	-0,600457668	1909,048218				
36,89847565	-0,598999441	1915,165894				
37,00040054	-0,599177957	1921,28125				
37,10228348	-0,592010319	1927,395996				
37,20425034	-0,57965827	1933,517334				
37,30607605	-0,567833364	1939,622681				
37,4079628	-0,5578233	1945,734131				
37,50977707	-0,551790297	1951,846191				
37,61168671	-0,542909145	1957,960693				
37,71366501	-0,538254619	1964,077026				
37,81566238	-0,534365594	1970,196533				
37,91754532	-0,527743757	1976,308838				
38,01932144	-0,520277202	1982,415771				
38,12108612	-0,51287812	1988,521606				
38,22284698	-0,508226991	1994,625244				
38,32481766	-0,500157475	2000,746826				
38,426754	-0,497714877	2006,859741				
38,52864456	-0,492736936	2012,974854				
38,63049698	-0,479944676	2019,087769				
38,73249817	-0,474178106	2025,205322				
