1ptspool-77um-stp2l8-25deg-250rpm24/11/202208:29:18	
Time (seconds)	Raw Heat Rate (uJ / s)
491	-96,81927422
492	-96,82465491
493	-96,83001455
494	-96,83531855
495	-96,84046582
496	-96,84534932
497	-96,85001296
498	-96,85462837
499	-96,85940324
500	-96,864405
501	-96,86962887
502	-96,87500787
503	-96,8803983
504	-96,88576749
505	-96,89097049
506	-96,89594411
507	-96,90081361
508	-96,90561713
509	-96,91034479
510	-96,91505893
511	-96,91985001
512	-96,92467701
513	-96,92945634
514	-96,93416457
515	-96,93889924
516	-96,94372048
517	-96,94865991
518	-96,9537556
519	-96,95878436
520	-96,96378345
521	-96,96883164
522	-96,97395893
523	-96,97927635
524	-96,98486593
525	-96,99075386
526	-96,99686428
527	-97,00303628
528	-97,00920511
529	-97,01536022
530	-97,02139199
531	-97,02725104
532	-97,03298543
533	-97,03870402
534	-97,04459643
535	-97,05072018
536	-97,05707543
537	-97,06356833
538	-97,07014023
539	-97,07671524
540	-97,08311639
541	-97,08933063
542	-97,09551637
543	-97,10177851
544	-97,10810317
545	-97,11453979
546	-97,12106296
547	-97,12753081
548	-97,13392608
549	-97,14022719
550	-97,146382
551	-97,15230912
552	-97,15794757
553	-97,16326033
554	-97,16833771
555	-97,1733671
556	-97,17844787
557	-97,18358507
558	-97,1887584
559	-97,19398525
560	-97,19924488
561	-97,20457008
562	-97,20997294
563	-97,21530549
564	-97,22049514
565	-97,22552371
566	-97,23042937
567	-97,23531071
568	-97,24016414
569	-97,24491348
570	-97,2494923
571	-97,25384927
572	-97,25800488
573	-97,26197631
574	-97,26575895
575	-97,26934841
576	-97,27274402
577	-97,27598338
578	-97,27905262
579	-97,28190413
580	-97,28456092
581	-97,28707378
582	-97,2894781
583	-97,29169312
584	-97,29377507
585	-97,29574042
586	-97,29758638
587	-97,29936375
588	-97,30111434
589	-97,30283924
590	-97,30462274
591	-97,3063965
592	-97,30806827
593	-97,30975565
594	-97,3116665
595	-97,31385947
596	-97,31624412
597	-97,31870908
598	-97,32137084
599	-97,32424551
600	-97,32733337
601	-97,33059708
602	-97,3339589
603	-97,33736429
604	-97,34071441
605	-97,34386515
606	-97,34687699
607	-97,34984537
608	-97,3527678
609	-97,35560894
610	-97,35837483
611	-97,36113747
612	-97,36394688
613	-97,3667212
614	-97,36937062
615	-97,37187842
616	-97,37427251
617	-97,37651941
618	-97,37864008
619	-97,3807757
620	-97,38299815
621	-97,38529763
622	-97,38760168
623	-97,38983224
624	-97,39189243
625	-97,39377216
626	-97,39547129
627	-97,39693912
628	-97,39818481
629	-97,3992233
630	-97,40010274
631	-97,40089536
632	-97,40168677
633	-97,40250648
634	-97,40337842
635	-97,40436291
636	-97,40542931
637	-97,4065964
638	-97,4079047
639	-97,40936141
640	-97,41094044
641	-97,41266395
642	-97,41459172
643	-97,41677741
644	-97,41936286
645	-97,42232986
646	-97,42555204
647	-97,42892372
648	-97,4322991
649	-97,43556997
650	-97,43876839
651	-97,44197257
652	-97,44524836
653	-97,44865568
654	-97,45223137
655	-97,45600056
656	-97,46002961
657	-97,46429994
658	-97,46866531
659	-97,47305365
660	-97,47746015
661	-97,48188122
662	-97,48635096
663	-97,49098547
664	-97,49579686
665	-97,50072842
666	-97,50581548
667	-97,51106115
668	-97,51638308
669	-97,5217171
670	-97,52710494
671	-97,53248998
672	-97,53784185
673	-97,54330263
674	-97,54876774
675	-97,55406948
676	-97,55925134
677	-97,56436534
678	-97,56938436
679	-97,57437338
680	-97,57940303
681	-97,58438014
682	-97,58927349
683	-97,59419583
684	-97,59922679
685	-97,60426616
686	-97,60924716
687	-97,61414193
688	-97,61881138
689	-97,62323345
690	-97,62760809
691	-97,63202268
692	-97,63644268
693	-97,64091761
694	-97,64538751
695	-97,64973299
696	-97,65400543
697	-97,6582122
698	-97,66225706
699	-97,66613482
700	-97,6698906
701	-97,67353121
702	-97,6771377
703	-97,680783
704	-97,68445331
705	-97,68804405
706	-97,6914554
707	-97,69466885
708	-97,6976169
709	-97,7003171
710	-97,70280098
711	-97,70502343
712	-97,70693063
713	-97,7084974
714	-97,70975647
715	-97,71079313
716	-97,71170694
717	-97,71248429
718	-97,71315485
719	-97,71381304
720	-97,71452107
721	-97,71529755
722	-97,71609369
723	-97,71688362
724	-97,71765978
725	-97,71839247
726	-97,71908463
727	-97,71979597
728	-97,72060098
